seed,proposal_index,query_id,product_id,action,requested_rank,achieved_rank,original_base_rank,target_score,base_score,qrsbt_boost,days,traffic_per_day,replications,base_relevant_discovery,qrsbt_relevant_discovery,base_irrelevant_exposure,qrsbt_irrelevant_exposure,base_false_warmup,qrsbt_false_warmup,base_cold_to_warm,qrsbt_cold_to_warm,base_utility,qrsbt_utility,worst_scenario_relevant_delta,worst_scenario_irrelevant_delta,worst_scenario_utility_delta,p10_scenario_replication_utility_delta,mean_scenario_replication_utility_delta,scenario_count,relevant_discovery_delta,irrelevant_exposure_delta,false_warmup_delta
263,1,10,90,PLACE_AT_1,1,1,13,1.0000000000000002,0.6872727272727273,0.31272727272727296,5,80,5.0,1172.8,1176.4,948.8,946.4,2.8,2.8,160.4,161.6,977.4399999999999,981.5200000000001,-0.6,0.2,-0.6400000000000091,-4.519999999999982,1.3599999999999965,3.0,3.6000000000001364,-2.3999999999999773,0.0
263,1,10,90,PLACE_AT_2,2,2,13,0.9018181818181821,0.6872727272727273,0.21454545454545482,5,80,5.0,1172.8,1172.8,948.8,948.0,2.8,2.6,160.4,161.0,977.4399999999999,978.0,-3.6,2.2,-4.039999999999997,-6.400000000000023,0.1866666666666693,3.0,0.0,-0.7999999999999545,-0.19999999999999973
263,1,10,90,PLACE_AT_3,3,3,13,0.8563636363636364,0.6872727272727273,0.16909090909090918,5,80,5.0,1172.8,1171.4,948.8,951.6,2.8,2.4,160.4,160.2,977.4399999999999,976.28,-2.4,1.8,-2.759999999999991,-5.040000000000032,-0.38666666666665983,3.0,-1.3999999999998636,2.800000000000068,-0.3999999999999999
263,1,10,90,PLACE_AT_5,5,5,13,0.8245454545454546,0.6872727272727273,0.13727272727272732,5,80,5.0,1172.8,1173.0,948.8,949.8,2.8,2.6,160.4,160.2,977.4399999999999,977.8399999999999,-2.2,0.4,-2.2799999999999843,-4.680000000000018,0.13333333333333902,3.0,0.20000000000004547,1.0,-0.19999999999999973
263,1,10,90,PLACE_AT_10,10,10,13,0.7172727272727274,0.6872727272727273,0.030000000000000138,5,80,5.0,1172.8,1173.2,948.8,949.0,2.8,2.8,160.4,160.0,977.4399999999999,977.8,0.0,0.2,0.0,0.0,0.12000000000000076,3.0,0.40000000000009095,0.20000000000004547,0.0
263,2,12,212,PLACE_AT_1,1,1,12,0.9296610169491527,0.7008474576271186,0.22881355932203407,5,80,5.0,1172.8,1177.0,948.8,950.8,2.8,2.6,160.4,160.6,977.4399999999999,981.64,0.8,1.6,0.08000000000000682,-3.8399999999999865,1.4,3.0,4.2000000000000455,2.0,-0.19999999999999973
263,2,12,212,PLACE_AT_2,2,2,12,0.9110169491525425,0.7008474576271186,0.21016949152542386,5,80,5.0,1172.8,1181.4,948.8,951.2,2.8,2.6,160.4,161.4,977.4399999999999,985.96,1.4,1.4,0.7200000000000102,-6.080000000000018,2.8399999999999994,3.0,8.600000000000136,2.400000000000091,-0.19999999999999973
263,2,12,212,PLACE_AT_3,3,3,12,0.8491525423728814,0.7008474576271186,0.14830508474576276,5,80,5.0,1172.8,1179.0,948.8,946.4,2.8,2.4,160.4,161.6,977.4399999999999,984.9200000000001,0.4,1.2,0.5200000000000046,-7.200000000000011,2.493333333333332,3.0,6.2000000000000455,-2.3999999999999773,-0.3999999999999999
263,2,12,212,PLACE_AT_5,5,5,12,0.7711864406779662,0.7008474576271186,0.07033898305084751,5,80,5.0,1172.8,1176.0,948.8,946.4,2.8,2.6,160.4,160.8,977.4399999999999,981.5200000000001,-1.2,1.2,-1.3599999999999965,-1.1999999999999997,1.3600000000000003,3.0,3.2000000000000455,-2.3999999999999773,-0.19999999999999973
263,2,12,212,PLACE_AT_10,10,10,12,0.7110169491525424,0.7008474576271186,0.01016949152542379,5,80,5.0,1172.8,1173.0,948.8,946.8,2.8,2.8,160.4,160.4,977.4399999999999,978.04,0.0,0.0,0.0,0.0,0.2,3.0,0.20000000000004547,-2.0,0.0
