seed,proposal_index,query_id,product_id,action,target_rank,base_score,base_rank,bm25_score,dense_score,retrieval_score,semantic_rank_score,semantic_component,qrsbt_relevance_probability,qrsbt_confidence,qrsbt_support_score,qrsbt_dispersion,qrsbt_support,qrsbt_compatibility,qrsbt_irrelevant_probability,price,price_log,quality,attribute_compatible,zero_history,sparse_history,candidate_source,category,query_category,query_intent,relation,qrsbt_transfer_source,source_rank,query_candidate_count,query_base_score_max,query_base_score_min,query_base_score_mean,query_base_score_std,query_qrsbt_confidence_mean,query_qrsbt_confidence_std,query_qrsbt_confidence_max,query_qrsbt_relevance_probability_mean,query_qrsbt_relevance_probability_std,query_qrsbt_relevance_probability_max,query_qrsbt_irrelevant_probability_mean,query_qrsbt_irrelevant_probability_std,query_qrsbt_irrelevant_probability_max,query_qrsbt_support_score_mean,query_qrsbt_support_score_std,query_qrsbt_support_score_max,base_boundary_score_at_1,base_boundary_score_at_2,base_boundary_score_at_3,base_boundary_score_at_5,base_boundary_score_at_10,query_top1_base_score,query_top2_base_score,score_immediately_above,score_immediately_below,query_base_score_range,query_top1_to_top2_gap,candidate_score_minus_query_mean,candidate_score_z,candidate_rank_fraction,candidate_gap_to_above,candidate_gap_to_below,action_score_gap_to_1,action_required_lift_to_1,action_move_distance_to_1,action_score_gap_to_2,action_required_lift_to_2,action_move_distance_to_2,action_score_gap_to_3,action_required_lift_to_3,action_move_distance_to_3,action_score_gap_to_5,action_required_lift_to_5,action_move_distance_to_5,action_score_gap_to_10,action_required_lift_to_10,action_move_distance_to_10,action_move_distance,action_boundary_score,action_score_gap,action_required_lift
263,1,10,90,PLACE_AT_1,1,0.6872727272727273,13,3.83271782876958,0.5360250378882517,0.6881818181818182,0.93419325,0.8909090909090909,0.8479740248475518,0.8505067595552339,1.0,0.0386936339897823,8,0.9968245633991224,5.98678469423458e-05,36.91,3.635214929528243,0.1,1,1,1,hybrid,running_shoes,running_shoes,brand_category,substitute,catalog_substitute_shrunk,13,55,1.0,0.0554545454545454,0.509090909090909,0.2374246130736536,0.568286170384313,0.36854177540405725,0.8567804618617731,0.6095422597607967,0.3950667558764042,0.987707867837589,0.29090843292775587,0.45833264622924763,0.99995179711468,1.0,0.0,1.0,1.0,0.901818181818182,0.8563636363636363,0.8245454545454545,0.7172727272727273,1.0,0.901818181818182,0.6881818181818181,0.6827272727272726,0.9445454545454546,0.09818181818181804,0.17818181818181822,0.7504774499792187,0.23636363636363636,0.0009090909090908594,0.00454545454545463,0.31272727272727274,0.31272727272727296,12,0.2145454545454547,0.21454545454545482,11,0.16909090909090907,0.16909090909090918,10,0.1372727272727272,0.13727272727272732,8,0.030000000000000027,0.030000000000000138,3,12,1.0,0.31272727272727274,0.31272727272727296
263,2,12,212,PLACE_AT_1,1,0.7008474576271186,12,2.164607625407589,0.3078066144977529,0.6741525423728814,0.20002362,0.6949152542372882,0.8502473366189811,0.8009002406741106,1.0,0.1007658081458483,8,0.9999997039128444,2.958843080764682e-07,21.9,3.131136910560194,0.60126559417973,1,1,1,hybrid,skincare,skincare,brand_category,substitute,catalog_substitute_shrunk,12,59,0.9296610169491526,0.1347457627118644,0.5084745762711864,0.19944051949752467,0.4796823577131453,0.38695213409471,0.8361408224233168,0.5260811749417361,0.42490320234962037,0.9969907864831804,0.38967741129097466,0.4916509839110801,0.9997369503458966,1.0,0.0,1.0,0.9296610169491526,0.9110169491525424,0.8491525423728813,0.771186440677966,0.7110169491525423,0.9296610169491526,0.9110169491525424,0.7110169491525423,0.6843220338983051,0.7949152542372881,0.01864406779661021,0.19237288135593222,0.9645626768351846,0.2033898305084746,0.01016949152542368,0.016525423728813493,0.22881355932203395,0.22881355932203407,11,0.21016949152542375,0.21016949152542386,10,0.14830508474576265,0.14830508474576276,9,0.0703389830508474,0.07033898305084751,7,0.01016949152542368,0.01016949152542379,2,11,0.9296610169491526,0.22881355932203395,0.22881355932203407
263,3,18,82,PLACE_AT_1,1,0.7377049180327868,12,3.83271782876958,0.6065149630697066,0.6614754098360656,0.92007506,0.8524590163934426,0.9292252031431312,0.8991185069020944,1.0,0.0336772511371464,8,0.9999998483528436,1.5143559104401824e-07,31.01,3.466048353981772,0.5001694301180392,1,1,1,hybrid,running_shoes,running_shoes,generic,substitute,catalog_substitute_shrunk,12,61,0.9221311475409836,0.0959016393442622,0.5081967213114754,0.25682987806548635,0.5347162547683004,0.4064704355127249,0.9002495697768341,0.5755525426523788,0.4362500307029027,0.9590005268099634,0.360645809053073,0.4841259138771817,0.9999587221087975,1.0,0.0,1.0,0.9221311475409836,0.8688524590163935,0.8418032786885246,0.819672131147541,0.7508196721311475,0.9221311475409836,0.8688524590163935,0.7418032786885246,0.7336065573770492,0.8262295081967214,0.05327868852459006,0.2295081967213114,0.8936195369870149,0.19672131147540983,0.004098360655737765,0.004098360655737654,0.18442622950819676,0.18442622950819687,11,0.1311475409836067,0.13114754098360681,10,0.10409836065573774,0.10409836065573785,9,0.08196721311475419,0.0819672131147543,7,0.013114754098360715,0.013114754098360826,2,11,0.9221311475409836,0.18442622950819676,0.18442622950819687
263,4,24,64,PLACE_AT_1,1,0.74765625,15,2.164607625407589,0.4958663199930035,0.766796875,0.87594557,0.90625,0.9398442538436924,0.8799716544420495,1.0,0.0256462499597351,8,0.9999995125597344,4.871578801253977e-07,45.97,3.849509100038904,0.3610160833900199,1,1,1,hybrid,headphones,headphones,generic,substitute,catalog_substitute_shrunk,15,64,0.95625,0.07734375,0.5078125,0.2669336526485463,0.4631586760284462,0.41288834403390673,0.8884780265385903,0.49800798998997775,0.4428097113376735,0.9398442538436924,0.4375078435831336,0.49987770331214604,0.9999269957229951,1.0,0.0,1.0,0.95625,0.8984375,0.896484375,0.86640625,0.7937500000000001,0.95625,0.8984375,0.75546875,0.728125,0.87890625,0.057812500000000044,0.23984375000000002,0.8985144721178572,0.234375,0.0078125,0.01953125,0.20859375000000002,0.20859375000000013,14,0.15078124999999998,0.1507812500000001,13,0.14882812499999998,0.1488281250000001,12,0.11875000000000002,0.11875000000000013,10,0.046093750000000044,0.046093750000000155,5,14,0.95625,0.20859375000000002,0.20859375000000013
263,5,36,260,PLACE_AT_1,1,0.734375,14,2.164607625407589,0.4366535622682963,0.576171875,0.8898073,0.84375,0.9118284418812038,0.8229668007407107,1.0,0.0546170153120007,8,0.9992717835372742,0.0001291608314343,85.6,4.461299815568389,0.5854463304307952,1,1,1,hybrid,skincare,skincare,generic,substitute,catalog_substitute_shrunk,14,64,0.90703125,0.05703125,0.5078125,0.26457651341920546,0.45674725756573675,0.4061696338138049,0.8437907692163564,0.5056923527440205,0.44960946537576063,0.9380420686066588,0.4374790858772431,0.49989845651258064,0.9999152377118492,1.0,0.0,1.0,0.90703125,0.90234375,0.88984375,0.87109375,0.765625,0.90703125,0.90234375,0.7375,0.7296875,0.85,0.004687499999999956,0.2265625,0.8563212851815968,0.21875,0.0031250000000000444,0.004687499999999956,0.17265624999999996,0.17265625000000007,13,0.16796875,0.1679687500000001,12,0.15546875000000004,0.15546875000000016,11,0.13671875,0.1367187500000001,9,0.03125,0.03125000000000011,4,13,0.90703125,0.17265624999999996,0.17265625000000007
263,6,41,153,PLACE_AT_1,1,0.8,13,5.151912272937833,0.7865017774006702,0.9491935483870968,1.0215901,0.8225806451612904,0.8500108929068861,0.8896807590570173,1.0,0.0719916927573154,8,0.9999656087384854,3.4138073672389096e-05,64.76,4.186011750747925,0.6731122110770038,1,1,1,hybrid,coffee,coffee,attribute,substitute,catalog_substitute_shrunk,13,62,0.939516129032258,0.0858870967741935,0.5080645161290323,0.2754010820610723,0.21243850833570516,0.37903537742646265,0.9040076383535306,0.259207082437328,0.3940592809291488,0.9755311871851912,0.38709341729296465,0.49099484961530027,0.9999445576679504,1.0,0.0,1.0,0.939516129032258,0.9362903225806452,0.935483870967742,0.9201612903225806,0.8532258064516128,0.939516129032258,0.9362903225806452,0.8435483870967742,0.7991935483870968,0.8536290322580645,0.003225806451612856,0.2919354838709678,1.0600375339347028,0.20967741935483872,0.04354838709677411,0.0008064516129032695,0.13951612903225796,0.13951612903225807,12,0.1362903225806451,0.13629032258064522,11,0.13548387096774195,0.13548387096774206,10,0.1201612903225806,0.12016129032258072,8,0.05322580645161279,0.0532258064516129,3,12,0.939516129032258,0.13951612903225796,0.13951612903225807
263,7,42,90,PLACE_AT_1,1,0.787704918032787,12,6.833035449379038,0.8404732640749497,0.9053278688524592,1.2520849,0.8852459016393442,0.9749029139267378,0.9023142237228648,1.0,0.0423455802804317,8,0.9999465773844282,3.544704532033185e-05,36.91,3.635214929528243,0.1,1,1,1,hybrid,running_shoes,running_shoes,attribute,substitute,catalog_substitute_shrunk,12,61,0.9827868852459016,0.0872950819672131,0.5081967213114754,0.27321129410143574,0.17659393529601194,0.3596263020350665,0.9093492862518596,0.21928512190474295,0.35841412595400907,0.9749029139267378,0.36053214063155137,0.4839790379185921,0.9999605503366852,1.0,0.0,1.0,0.9827868852459016,0.9663934426229508,0.9352459016393442,0.910655737704918,0.8581967213114754,0.9827868852459016,0.9663934426229508,0.8418032786885246,0.6975409836065574,0.8954918032786885,0.016393442622950838,0.27950819672131155,1.0230477390789634,0.19672131147540983,0.05409836065573759,0.09016393442622961,0.19508196721311466,0.19508196721311477,11,0.17868852459016382,0.17868852459016393,10,0.1475409836065572,0.14754098360655732,9,0.12295081967213106,0.12295081967213117,7,0.07049180327868843,0.07049180327868854,2,11,0.9827868852459016,0.19508196721311466,0.19508196721311477
263,8,45,125,PLACE_AT_1,1,0.7533333333333333,11,2.058083866517926,0.4507017314507031,0.5604166666666668,1.0269126,0.9166666666666666,0.9082433159204104,0.8038178967382618,1.0,0.0988648468442103,8,0.9989573394677058,0.0001365678201284,33.11,3.5295905964305545,0.3712949188510385,1,1,1,hybrid,camera,camera,generic,substitute,catalog_substitute_shrunk,11,60,0.9008333333333334,0.0625,0.5083333333333333,0.2573668475329324,0.5373531079785167,0.3835995346072709,0.8570202338141613,0.5980894544504127,0.4267357388463026,0.9390714473637732,0.3333428372376896,0.47527324835614687,0.9998830688893688,1.0,0.0,1.0,0.9008333333333334,0.8958333333333333,0.8516666666666667,0.8341666666666667,0.7625000000000001,0.9008333333333334,0.8958333333333333,0.7625000000000001,0.7458333333333333,0.8383333333333334,0.0050000000000001155,0.245,0.9519485603857741,0.18333333333333332,0.009166666666666767,0.007499999999999951,0.14750000000000008,0.1475000000000002,10,0.14249999999999996,0.14250000000000007,9,0.09833333333333338,0.0983333333333335,8,0.08083333333333342,0.08083333333333353,6,0.009166666666666767,0.009166666666666878,1,10,0.9008333333333334,0.14750000000000008,0.1475000000000002
269,1,3,115,PLACE_AT_1,1,0.6768518518518518,14,1.7324579408568317,0.4226444087012604,0.3819444444444445,0.76597947,0.7222222222222222,0.9111420285930056,0.827201376995077,1.0,0.0465464784472314,8,0.9999843081840228,1.2247004394395051e-05,23.09,3.18179681662678,0.6019659034140965,1,1,1,hybrid,laptop,laptop,generic,substitute,catalog_substitute_shrunk,14,54,0.826851851851852,0.0305555555555555,0.5092592592592593,0.19418962704908235,0.5696978969462126,0.38536715953546197,0.8813476430519351,0.6424807293640533,0.38987228714895467,0.9366816761007364,0.2907673343567789,0.43331248658798277,0.9738741278219112,1.0,0.0,1.0,0.826851851851852,0.825925925925926,0.7648148148148148,0.7555555555555555,0.6898148148148148,0.826851851851852,0.825925925925926,0.6787037037037037,0.6657407407407407,0.7962962962962965,0.0009259259259259967,0.16759259259259252,0.8630357611749916,0.25925925925925924,0.0018518518518518823,0.011111111111111072,0.15000000000000013,0.15000000000000024,13,0.14907407407407414,0.14907407407407425,12,0.08796296296296302,0.08796296296296313,11,0.07870370370370372,0.07870370370370383,9,0.012962962962962954,0.012962962962963065,4,13,0.826851851851852,0.15000000000000013,0.15000000000000024
269,2,5,117,PLACE_AT_1,1,0.721551724137931,13,2.0802519574095224,0.2759505830259469,0.2568965517241379,0.3302411,0.7758620689655172,0.8492237002094173,0.8170672753077526,1.0,0.0541925305478305,8,0.9989022553836504,6.093380342243928e-05,32.98,3.525772116243786,0.6517609473198465,1,1,1,hybrid,camera,camera,brand_category,substitute,catalog_substitute_shrunk,13,58,0.9543103448275864,0.0999999999999999,0.5086206896551724,0.23217387506549572,0.49827667495067796,0.3931180078469622,0.8320255196625151,0.5381479092671511,0.4250890665758672,0.9851451949332746,0.37901146007122316,0.4890150790427382,0.9996397391331566,1.0,0.0,1.0,0.9543103448275864,0.9344827586206896,0.9336206896551724,0.8465517241379311,0.7353448275862069,0.9543103448275864,0.9344827586206896,0.7224137931034482,0.7163793103448276,0.8543103448275865,0.01982758620689673,0.21293103448275863,0.9171188378653338,0.22413793103448276,0.0008620689655172153,0.005172413793103403,0.23275862068965536,0.23275862068965547,12,0.21293103448275863,0.21293103448275874,11,0.21206896551724141,0.21206896551724153,10,0.1250000000000001,0.12500000000000022,8,0.01379310344827589,0.013793103448276,3,12,0.9543103448275864,0.23275862068965536,0.23275862068965547
